"grid_id","consumption","max","mean","min","new1","new_month","day"
1000,0.253895833333333,20,17,14,"2009-08-04","Aug-9","04"
1001,0.122,20,17,14,"2009-08-04","Aug-9","04"
1524,0.188375,20,17,14,"2009-08-04","Aug-9","04"
1821,0.143895833333333,20,17,14,"2009-08-04","Aug-9","04"
1000,0.158895833333333,20,16,12,"2009-08-05","Aug-9","05"
1001,0.122270833333333,20,16,12,"2009-08-05","Aug-9","05"
1524,0.123645833333333,20,16,12,"2009-08-05","Aug-9","05"
1821,0.147791666666667,20,16,12,"2009-08-05","Aug-9","05"
1000,0.224958333333333,20,14,8,"2009-08-06","Aug-9","06"
1001,0.115645833333333,20,14,8,"2009-08-06","Aug-9","06"
1524,0.103604166666667,20,14,8,"2009-08-06","Aug-9","06"
1821,0.215604166666667,20,14,8,"2009-08-06","Aug-9","06"
1000,0.225479166666667,19,15,11,"2009-08-07","Aug-9","07"
1001,0.115166666666667,19,15,11,"2009-08-07","Aug-9","07"
1524,0.189395833333333,19,15,11,"2009-08-07","Aug-9","07"
1821,0.0348125,19,15,11,"2009-08-07","Aug-9","07"
1000,0.187958333333333,21,17,13,"2009-08-08","Aug-9","08"
1001,0.1303125,21,17,13,"2009-08-08","Aug-9","08"
1524,0.104125,21,17,13,"2009-08-08","Aug-9","08"
1821,0.027,21,17,13,"2009-08-08","Aug-9","08"
1000,0.213041666666667,19,16,13,"2009-08-09","Aug-9","09"
1001,0.1205625,19,16,13,"2009-08-09","Aug-9","09"
1524,0.0249791666666667,19,16,13,"2009-08-09","Aug-9","09"
1821,0.0182291666666667,19,16,13,"2009-08-09","Aug-9","09"
1000,0.103020833333333,20,16,13,"2009-08-10","Aug-9","10"
1001,0.125354166666667,20,16,13,"2009-08-10","Aug-9","10"
1524,0.366854166666667,20,16,13,"2009-08-10","Aug-9","10"
1821,0.142291666666667,20,16,13,"2009-08-10","Aug-9","10"
1000,0.274541666666667,20,14,9,"2009-08-11","Aug-9","11"
1001,0.120291666666667,20,14,9,"2009-08-11","Aug-9","11"
1524,0.346458333333333,20,14,9,"2009-08-11","Aug-9","11"
1821,0.129583333333333,20,14,9,"2009-08-11","Aug-9","11"
1000,0.111895833333333,20,16,13,"2009-08-12","Aug-9","12"
1001,0.1175625,20,16,13,"2009-08-12","Aug-9","12"
1524,0.542458333333333,20,16,13,"2009-08-12","Aug-9","12"
1821,0.1456875,20,16,13,"2009-08-12","Aug-9","12"
1000,0.1823125,16,14,11,"2009-08-13","Aug-9","13"
1001,0.112854166666667,16,14,11,"2009-08-13","Aug-9","13"
1524,0.274541666666667,16,14,11,"2009-08-13","Aug-9","13"
1821,0.128625,16,14,11,"2009-08-13","Aug-9","13"
1000,0.324333333333333,21,16,12,"2009-08-14","Aug-9","14"
1001,0.121375,21,16,12,"2009-08-14","Aug-9","14"
1524,0.122645833333333,21,16,12,"2009-08-14","Aug-9","14"
1821,0.017875,21,16,12,"2009-08-14","Aug-9","14"
1000,0.08275,19,16,14,"2009-08-15","Aug-9","15"
1001,0.133291666666667,19,16,14,"2009-08-15","Aug-9","15"
1524,0.0980625,19,16,14,"2009-08-15","Aug-9","15"
1821,0.0111875,19,16,14,"2009-08-15","Aug-9","15"
1000,0.103458333333333,17,15,13,"2009-08-16","Aug-9","16"
1001,0.117208333333333,17,15,13,"2009-08-16","Aug-9","16"
1524,0.0249791666666667,17,15,13,"2009-08-16","Aug-9","16"
1821,0.0111458333333333,17,15,13,"2009-08-16","Aug-9","16"
1000,0.323333333333333,20,16,13,"2009-08-17","Aug-9","17"
1001,0.126041666666667,20,16,13,"2009-08-17","Aug-9","17"
1524,0.380020833333333,20,16,13,"2009-08-17","Aug-9","17"
1821,0.118145833333333,20,16,13,"2009-08-17","Aug-9","17"
1000,0.1875,19,15,11,"2009-08-18","Aug-9","18"
1001,0.116125,19,15,11,"2009-08-18","Aug-9","18"
1524,0.401020833333333,19,15,11,"2009-08-18","Aug-9","18"
1821,0.131666666666667,19,15,11,"2009-08-18","Aug-9","18"
1000,0.120270833333333,22,18,15,"2009-08-19","Aug-9","19"
1001,0.1134375,22,18,15,"2009-08-19","Aug-9","19"
1524,0.521208333333333,22,18,15,"2009-08-19","Aug-9","19"
1821,0.188395833333333,22,18,15,"2009-08-19","Aug-9","19"
1000,0.260208333333333,17,14,12,"2009-08-20","Aug-9","20"
1001,0.1233125,17,14,12,"2009-08-20","Aug-9","20"
1524,0.109958333333333,17,14,12,"2009-08-20","Aug-9","20"
1821,0.150666666666667,17,14,12,"2009-08-20","Aug-9","20"
1000,0.158229166666667,17,14,10,"2009-08-21","Aug-9","21"
1001,0.127,17,14,10,"2009-08-21","Aug-9","21"
1524,0.362666666666667,17,14,10,"2009-08-21","Aug-9","21"
1821,0.022375,17,14,10,"2009-08-21","Aug-9","21"
1000,0.479875,19,14,9,"2009-08-22","Aug-9","22"
1001,0.117791666666667,19,14,9,"2009-08-22","Aug-9","22"
1524,0.0579791666666667,19,14,9,"2009-08-22","Aug-9","22"
1821,0.0227291666666667,19,14,9,"2009-08-22","Aug-9","22"
1000,0.103208333333333,20,16,12,"2009-08-23","Aug-9","23"
1001,0.125270833333333,20,16,12,"2009-08-23","Aug-9","23"
1524,0.0235,20,16,12,"2009-08-23","Aug-9","23"
1821,0.0105416666666667,20,16,12,"2009-08-23","Aug-9","23"
1000,0.249479166666667,17,13,9,"2009-08-24","Aug-9","24"
1001,0.109875,17,13,9,"2009-08-24","Aug-9","24"
1524,0.143541666666667,17,13,9,"2009-08-24","Aug-9","24"
1821,0.126229166666667,17,13,9,"2009-08-24","Aug-9","24"
1000,0.315145833333333,18,14,9,"2009-08-25","Aug-9","25"
1001,0.135645833333333,18,14,9,"2009-08-25","Aug-9","25"
1524,0.449354166666667,18,14,9,"2009-08-25","Aug-9","25"
1821,0.122375,18,14,9,"2009-08-25","Aug-9","25"
1000,0.168270833333333,20,16,13,"2009-08-26","Aug-9","26"
1001,0.1248125,20,16,13,"2009-08-26","Aug-9","26"
1524,0.302145833333333,20,16,13,"2009-08-26","Aug-9","26"
1821,0.196979166666667,20,16,13,"2009-08-26","Aug-9","26"
1000,0.203270833333333,18,14,10,"2009-08-27","Aug-9","27"
1001,0.115166666666667,18,14,10,"2009-08-27","Aug-9","27"
1524,0.580604166666667,18,14,10,"2009-08-27","Aug-9","27"
1821,0.1065625,18,14,10,"2009-08-27","Aug-9","27"
1000,0.238354166666667,15,12,9,"2009-08-28","Aug-9","28"
1001,0.130458333333333,15,12,9,"2009-08-28","Aug-9","28"
1524,0.086875,15,12,9,"2009-08-28","Aug-9","28"
1821,0.037375,15,12,9,"2009-08-28","Aug-9","28"
1000,0.315645833333333,16,12,8,"2009-08-29","Aug-9","29"
1001,0.124625,16,12,8,"2009-08-29","Aug-9","29"
1524,0.0910416666666667,16,12,8,"2009-08-29","Aug-9","29"
1821,0.0215416666666667,16,12,8,"2009-08-29","Aug-9","29"
1000,0.136958333333333,20,14,7,"2009-08-30","Aug-9","30"
1001,0.128395833333333,20,14,7,"2009-08-30","Aug-9","30"
1524,0.0230208333333333,20,14,7,"2009-08-30","Aug-9","30"
1821,0.00975,20,14,7,"2009-08-30","Aug-9","30"
1000,0.103791666666667,18,16,13,"2009-08-31","Aug-9","31"
1001,0.1210625,18,16,13,"2009-08-31","Aug-9","31"
1524,0.404333333333333,18,16,13,"2009-08-31","Aug-9","31"
1821,0.142270833333333,18,16,13,"2009-08-31","Aug-9","31"
1000,0.173583333333333,16,13,10,"2009-09-01","Sep-9","01"
